"style","subject","most_frequent_subject_count","total_paintings","percentage"
"Rococo","Portraits","90","535","16.82242990654205607500"
"Neo-Classicism","Portraits","104","421","24.70308788598574821900"
"Cubism","Still-Life","46","300","15.33333333333333333300"
"Japanese Art","Rivers/Lakes","6","70","8.57142857142857142900"
"Orientalism","Nude","26","402","6.46766169154228855700"
"Realism","Horses","95","1181","8.04403048264182895900"
"Baroque","Christianity","92","972","9.46502057613168724300"
"Post-Impressionism","Flowers","113","1672","6.75837320574162679400"
"Impressionism","Rivers/Lakes","218","3078","7.08252111760883690700"
"Symbolism","Flowers","40","199","20.10050251256281407000"
"Expressionism","Nude","50","673","7.42942050520059435400"
"Renaissance","Christianity","99","371","26.68463611859838274900"
"Surrealism","Abstract/Modern Art","8","149","5.36912751677852349000"
"American Landscape","Landscape Art","285","323","88.23529411764705882400"
"Art Nouveau","Portraits","14","108","12.96296296296296296300"
"Pointillism","Nude","17","200","8.50000000000000000000"
"Romanticism","Horses","52","511","10.17612524461839530300"
"Fauvism","Flowers","74","653","11.33231240428790199100"
"Nabi","Nude","37","366","10.10928961748633879800"
"American Art","Horses","57","461","12.36442516268980477200"
"Avant-Garde","Still-Life","12","146","8.21917808219178082200"
"Naturalism","Dogs","10","272","3.67647058823529411800"
"Classicism","Nude","37","427","8.66510538641686182700"
